per, mean, median, 10th, 90th
0.02, -101.26, -101.0, -104.0, -93.0
0.02, -106.37, -105.0, -110.0, -96.0
0.02, -112.33, -111.0, -117.0, -102.0
0.03, -112.84, -112.0, -117.0, -102.0
0.03, -112.93, -112.0, -117.0, -103.0
0.03, -113.36, -113.0, -117.0, -103.0
0.03, -113.57, -113.0, -118.0, -103.0
0.04, -112.75, -112.0, -118.0, -103.0
0.04, -112.08, -111.0, -117.0, -103.0
0.04, -112.13, -110.0, -116.0, -104.0
0.05, -112.37, -110.0, -117.0, -104.0
0.05, -113.04, -111.0, -118.0, -105.0
0.06, -113.89, -112.0, -119.0, -106.0
0.06, -113.86, -112.0, -119.0, -106.0
0.07, -113.66, -112.0, -118.0, -106.0
0.07, -114.49, -112.0, -119.0, -107.0
0.08, -115.34, -113.0, -120.0, -108.0
0.09, -115.52, -113.0, -120.0, -108.0
0.1, -115.94, -114.0, -120.0, -109.0
0.1, -116.56, -114.0, -121.0, -110.0
0.11, -117.06, -115.0, -121.0, -111.0
0.12, -117.43, -115.0, -122.0, -111.0
0.13, -117.51, -115.0, -123.0, -110.0
0.15, -117.26, -115.0, -124.0, -109.0
0.16, -116.73, -114.0, -125.0, -108.0
0.17, -116.47, -114.0, -125.0, -107.0
0.19, -117.32, -115.0, -125.0, -108.0
0.21, -118.64, -116.0, -126.0, -110.0
0.23, -119.59, -117.0, -126.0, -112.0
0.25, -120.05, -117.0, -127.0, -113.0
0.27, -120.0, -118.0, -125.0, -114.0
0.29, -120.62, -118.0, -125.0, -114.0
0.32, -121.91, -120.0, -128.0, -115.0
0.35, -122.64, -120.0, -129.0, -116.0
0.38, -123.3, -121.0, -131.0, -116.0
0.41, -125.37, -123.0, -132.0, -118.0
0.45, -128.64, -127.0, -134.0, -122.0
0.49, -130.82, -129.0, -136.0, -125.0
0.54, -132.02, -131.0, -137.0, -126.0
0.59, -132.78, -132.0, -138.0, -127.0
0.64, -133.66, -132.0, -139.0, -128.0
0.7, -134.53, -133.0, -140.0, -129.0
