per, mean, median, 10th, 90th
2.0, -122.18, -122.0, -124.0, -119.0
2.18, -127.18, -126.0, -130.0, -123.0
2.38, -132.15, -131.0, -136.0, -127.0
2.59, -130.98, -129.0, -134.0, -126.0
2.83, -129.63, -128.0, -133.0, -124.0
3.08, -128.32, -127.0, -132.0, -122.0
3.36, -127.21, -126.0, -131.0, -121.0
3.67, -126.31, -125.0, -131.0, -119.0
4.0, -125.53, -124.0, -131.0, -118.0
4.36, -125.04, -124.0, -131.0, -116.0
4.76, -125.13, -124.0, -133.0, -115.0
5.19, -125.84, -124.0, -135.0, -115.0
5.66, -127.12, -126.0, -137.0, -116.0
6.17, -128.41, -127.0, -138.0, -117.0
6.73, -129.76, -129.0, -138.0, -119.0
7.34, -131.58, -131.0, -139.0, -122.0
8.0, -134.62, -134.0, -142.0, -125.0
8.72, -138.66, -138.0, -147.0, -129.0
9.51, -141.99, -142.0, -151.0, -132.0
10.37, -144.12, -144.0, -153.0, -134.0
11.31, -144.88, -145.0, -154.0, -134.0
12.34, -144.87, -145.0, -154.0, -134.0
13.45, -144.61, -145.0, -154.0, -133.0
14.67, -144.52, -145.0, -154.0, -133.0
16.0, -144.64, -145.0, -154.0, -133.0
17.45, -144.99, -145.0, -155.0, -132.0
19.03, -145.4, -146.0, -157.0, -132.0
20.75, -145.68, -146.0, -158.0, -132.0
22.63, -145.74, -146.0, -158.0, -132.0
24.68, -145.67, -146.0, -158.0, -132.0
26.91, -145.49, -145.0, -158.0, -132.0
29.34, -145.28, -145.0, -158.0, -132.0
32.0, -145.01, -145.0, -157.0, -132.0
34.9, -144.63, -145.0, -157.0, -131.0
38.05, -144.34, -144.0, -156.0, -131.0
41.5, -143.94, -144.0, -156.0, -131.0
45.25, -143.56, -144.0, -155.0, -131.0
49.35, -143.23, -143.0, -155.0, -130.0
53.82, -142.72, -143.0, -154.0, -130.0
58.69, -142.28, -143.0, -154.0, -129.0
64.0, -141.78, -142.0, -153.0, -129.0
69.79, -141.24, -141.0, -152.0, -129.0
76.11, -140.81, -141.0, -152.0, -128.0
83.0, -140.34, -141.0, -151.0, -128.0
90.51, -139.84, -140.0, -151.0, -127.0
98.7, -139.25, -140.0, -150.0, -126.0
107.63, -138.58, -139.0, -150.0, -126.0
117.38, -137.8, -138.0, -149.0, -125.0
128.0, -137.38, -138.0, -149.0, -124.0
139.58, -136.39, -137.0, -148.0, -123.0
152.22, -136.39, -137.0, -148.0, -123.0
166.0, -135.14, -136.0, -146.0, -122.0
181.02, -135.14, -136.0, -146.0, -122.0
197.4, -133.56, -134.0, -145.0, -119.0
215.27, -133.56, -134.0, -145.0, -119.0
234.75, -131.52, -132.0, -143.0, -117.0
256.0, -131.52, -132.0, -143.0, -117.0
279.17, -50.5, -51.0, -51.0, -51.0
304.44, -50.5, -51.0, -51.0, -51.0
331.99, -128.88, -130.0, -140.0, -113.0
362.04, -128.88, -130.0, -140.0, -113.0
394.81, -50.5, -51.0, -51.0, -51.0
430.54, -50.5, -51.0, -51.0, -51.0
469.51, -125.08, -126.0, -136.0, -108.0
512.0, -125.08, -126.0, -136.0, -108.0
558.34, -50.5, -51.0, -51.0, -51.0
608.87, -50.5, -51.0, -51.0, -51.0
663.98, -50.5, -51.0, -51.0, -51.0
724.08, -50.5, -51.0, -51.0, -51.0
789.61, -50.5, -51.0, -51.0, -51.0
861.08, -50.5, -51.0, -51.0, -51.0
939.01, -119.47, -120.0, -131.0, -102.0
1024.0, -119.47, -120.0, -131.0, -102.0
