per, mean, median, 10th, 90th
2.0, -122.87, -122.0, -124.0, -120.0
2.18, -128.31, -128.0, -131.0, -125.0
2.38, -133.81, -133.0, -137.0, -129.0
2.59, -132.88, -132.0, -136.0, -128.0
2.83, -132.02, -131.0, -135.0, -127.0
3.08, -131.25, -130.0, -134.0, -126.0
3.36, -130.45, -129.0, -134.0, -125.0
3.67, -129.46, -128.0, -133.0, -123.0
4.0, -128.48, -127.0, -132.0, -122.0
4.36, -127.72, -127.0, -132.0, -120.0
4.76, -127.48, -126.0, -133.0, -119.0
5.19, -128.07, -127.0, -135.0, -119.0
5.66, -129.34, -128.0, -138.0, -119.0
6.17, -130.42, -129.0, -139.0, -119.0
6.73, -131.57, -131.0, -139.0, -121.0
7.34, -133.16, -133.0, -140.0, -123.0
8.0, -135.78, -135.0, -143.0, -126.0
8.72, -140.27, -140.0, -148.0, -130.0
9.51, -145.28, -146.0, -153.0, -135.0
10.37, -149.17, -150.0, -157.0, -139.0
11.31, -150.71, -151.0, -159.0, -141.0
12.34, -150.79, -151.0, -159.0, -141.0
13.45, -150.41, -151.0, -159.0, -140.0
14.67, -150.14, -151.0, -158.0, -139.0
16.0, -150.37, -152.0, -158.0, -138.0
17.45, -151.56, -154.0, -159.0, -137.0
19.03, -153.2, -156.0, -162.0, -138.0
20.75, -154.92, -158.0, -164.0, -139.0
22.63, -156.12, -159.0, -165.0, -140.0
24.68, -156.81, -160.0, -165.0, -141.0
26.91, -157.27, -160.0, -165.0, -143.0
29.34, -157.5, -160.0, -165.0, -144.0
32.0, -157.67, -160.0, -165.0, -145.0
34.9, -157.67, -160.0, -165.0, -146.0
38.05, -157.57, -160.0, -164.0, -147.0
41.5, -157.36, -159.0, -164.0, -148.0
45.25, -157.1, -159.0, -163.0, -148.0
49.35, -156.86, -159.0, -163.0, -148.0
53.82, -156.44, -158.0, -163.0, -149.0
58.69, -156.03, -158.0, -162.0, -148.0
64.0, -155.56, -157.0, -162.0, -148.0
69.79, -154.98, -157.0, -161.0, -147.0
76.11, -154.55, -156.0, -161.0, -147.0
83.0, -154.07, -156.0, -160.0, -146.0
90.51, -153.53, -155.0, -160.0, -145.0
98.7, -152.92, -154.0, -159.0, -145.0
107.63, -152.22, -154.0, -158.0, -144.0
117.38, -151.42, -153.0, -158.0, -143.0
128.0, -150.98, -152.0, -157.0, -142.0
139.58, -149.93, -151.0, -157.0, -141.0
152.22, -149.93, -151.0, -157.0, -141.0
166.0, -148.65, -150.0, -155.0, -139.0
181.02, -148.65, -150.0, -155.0, -139.0
197.4, -147.07, -148.0, -154.0, -138.0
215.27, -147.07, -148.0, -154.0, -138.0
234.75, -145.03, -146.0, -152.0, -136.0
256.0, -145.03, -146.0, -152.0, -136.0
279.17, -50.5, -51.0, -51.0, -51.0
304.44, -50.5, -51.0, -51.0, -51.0
331.99, -142.42, -144.0, -149.0, -133.0
362.04, -142.42, -144.0, -149.0, -133.0
394.81, -50.5, -51.0, -51.0, -51.0
430.54, -50.5, -51.0, -51.0, -51.0
469.51, -138.82, -140.0, -146.0, -129.0
512.0, -138.82, -140.0, -146.0, -129.0
558.34, -50.5, -51.0, -51.0, -51.0
608.87, -50.5, -51.0, -51.0, -51.0
663.98, -50.5, -51.0, -51.0, -51.0
724.08, -50.5, -51.0, -51.0, -51.0
789.61, -50.5, -51.0, -51.0, -51.0
861.08, -50.5, -51.0, -51.0, -51.0
939.01, -132.92, -134.0, -140.0, -122.0
1024.0, -132.92, -134.0, -140.0, -122.0
