per, mean, median, 10th, 90th
2.0, -134.11, -134.0, -138.0, -133.0
2.18, -139.51, -140.0, -142.0, -139.0
2.38, -144.51, -145.0, -148.0, -143.0
2.59, -142.35, -143.0, -145.0, -141.0
2.83, -140.08, -141.0, -143.0, -138.0
3.08, -138.07, -139.0, -141.0, -136.0
3.36, -136.01, -137.0, -139.0, -134.0
3.67, -134.13, -135.0, -137.0, -132.0
4.0, -132.57, -133.0, -136.0, -129.0
4.36, -131.09, -132.0, -136.0, -127.0
4.76, -129.83, -130.0, -136.0, -125.0
5.19, -129.34, -130.0, -137.0, -123.0
5.66, -129.44, -130.0, -138.0, -122.0
6.17, -129.34, -129.0, -139.0, -122.0
6.73, -129.29, -129.0, -138.0, -122.0
7.34, -130.11, -131.0, -139.0, -122.0
8.0, -132.52, -133.0, -141.0, -125.0
8.72, -137.69, -139.0, -147.0, -129.0
9.51, -143.94, -146.0, -154.0, -135.0
10.37, -149.43, -151.0, -158.0, -141.0
11.31, -152.2, -154.0, -160.0, -146.0
12.34, -152.39, -154.0, -161.0, -146.0
13.45, -151.58, -154.0, -159.0, -145.0
14.67, -150.99, -153.0, -158.0, -144.0
16.0, -151.1, -154.0, -158.0, -142.0
17.45, -152.76, -156.0, -161.0, -143.0
19.03, -155.41, -159.0, -164.0, -144.0
20.75, -159.0, -163.0, -169.0, -146.0
22.63, -162.4, -167.0, -173.0, -147.0
24.68, -165.01, -170.0, -176.0, -149.0
26.91, -167.47, -173.0, -178.0, -152.0
29.34, -169.35, -175.0, -180.0, -154.0
32.0, -171.21, -177.0, -181.0, -156.0
34.9, -172.77, -178.0, -182.0, -158.0
38.05, -173.76, -179.0, -183.0, -160.0
41.5, -174.92, -180.0, -183.0, -162.0
45.25, -175.81, -181.0, -184.0, -163.0
49.35, -176.39, -181.0, -184.0, -164.0
53.82, -176.88, -181.0, -184.0, -166.0
58.69, -177.14, -181.0, -184.0, -167.0
64.0, -177.34, -181.0, -184.0, -168.0
69.79, -177.39, -181.0, -184.0, -169.0
76.11, -177.29, -181.0, -183.0, -170.0
83.0, -177.1, -180.0, -183.0, -170.0
90.51, -176.94, -180.0, -182.0, -171.0
98.7, -176.82, -180.0, -182.0, -171.0
107.63, -176.83, -180.0, -182.0, -172.0
117.38, -176.95, -180.0, -182.0, -173.0
128.0, -177.02, -180.0, -182.0, -173.0
139.58, -177.36, -180.0, -182.0, -174.0
152.22, -177.36, -180.0, -182.0, -174.0
166.0, -177.74, -180.0, -183.0, -174.0
181.02, -177.74, -180.0, -183.0, -174.0
197.4, -178.08, -181.0, -184.0, -174.0
215.27, -178.08, -181.0, -184.0, -174.0
234.75, -178.28, -181.0, -184.0, -174.0
256.0, -178.28, -181.0, -184.0, -174.0
279.17, -50.5, -51.0, -51.0, -51.0
304.44, -50.5, -51.0, -51.0, -51.0
331.99, -178.11, -181.0, -185.0, -173.0
362.04, -178.11, -181.0, -185.0, -173.0
394.81, -50.5, -51.0, -51.0, -51.0
430.54, -50.5, -51.0, -51.0, -51.0
469.51, -176.44, -180.0, -184.0, -170.0
512.0, -176.44, -180.0, -184.0, -170.0
558.34, -50.5, -51.0, -51.0, -51.0
608.87, -50.5, -51.0, -51.0, -51.0
663.98, -50.5, -51.0, -51.0, -51.0
724.08, -50.5, -51.0, -51.0, -51.0
789.61, -50.5, -51.0, -51.0, -51.0
861.08, -50.5, -51.0, -51.0, -51.0
939.01, -171.53, -174.0, -179.0, -165.0
1024.0, -171.53, -174.0, -179.0, -165.0
