per, mean, median, 10th, 90th
2.0, -133.76, -135.0, -136.0, -133.0
2.18, -139.28, -140.0, -142.0, -138.0
2.38, -144.58, -146.0, -149.0, -141.0
2.59, -143.15, -144.0, -148.0, -140.0
2.83, -141.68, -142.0, -146.0, -138.0
3.08, -139.87, -141.0, -145.0, -136.0
3.36, -137.97, -139.0, -143.0, -134.0
3.67, -135.92, -137.0, -141.0, -132.0
4.0, -133.97, -135.0, -139.0, -130.0
4.36, -132.9, -134.0, -139.0, -128.0
4.76, -132.45, -133.0, -140.0, -127.0
5.19, -132.32, -133.0, -141.0, -126.0
5.66, -132.09, -132.0, -142.0, -125.0
6.17, -131.77, -132.0, -142.0, -124.0
6.73, -131.8, -132.0, -141.0, -124.0
7.34, -132.62, -133.0, -141.0, -125.0
8.0, -134.99, -136.0, -144.0, -127.0
8.72, -139.96, -141.0, -150.0, -131.0
9.51, -145.85, -147.0, -155.0, -137.0
10.37, -150.36, -152.0, -159.0, -142.0
11.31, -152.23, -154.0, -160.0, -146.0
12.34, -152.32, -154.0, -161.0, -146.0
13.45, -151.64, -153.0, -160.0, -145.0
14.67, -151.37, -154.0, -159.0, -144.0
16.0, -151.85, -154.0, -159.0, -144.0
17.45, -153.63, -156.0, -162.0, -144.0
19.03, -156.36, -159.0, -166.0, -145.0
20.75, -159.84, -163.0, -170.0, -147.0
22.63, -163.11, -167.0, -174.0, -149.0
24.68, -165.57, -170.0, -176.0, -151.0
26.91, -167.72, -173.0, -178.0, -152.0
29.34, -169.09, -174.0, -179.0, -154.0
32.0, -170.3, -175.0, -180.0, -156.0
34.9, -171.33, -176.0, -180.0, -157.0
38.05, -172.03, -177.0, -181.0, -158.0
41.5, -172.82, -177.0, -181.0, -160.0
45.25, -173.21, -178.0, -181.0, -161.0
49.35, -173.49, -178.0, -181.0, -162.0
53.82, -173.82, -178.0, -182.0, -163.0
58.69, -173.78, -177.0, -181.0, -164.0
64.0, -173.56, -177.0, -181.0, -165.0
69.79, -173.08, -176.0, -180.0, -165.0
76.11, -172.61, -175.0, -180.0, -165.0
83.0, -172.12, -175.0, -179.0, -166.0
90.51, -171.63, -174.0, -178.0, -166.0
98.7, -170.98, -173.0, -178.0, -166.0
107.63, -170.16, -172.0, -177.0, -165.0
117.38, -169.52, -171.0, -177.0, -164.0
128.0, -169.31, -171.0, -177.0, -163.0
139.58, -169.32, -171.0, -177.0, -162.0
152.22, -169.32, -171.0, -177.0, -162.0
166.0, -168.71, -170.0, -178.0, -161.0
181.02, -168.71, -170.0, -178.0, -161.0
197.4, -167.19, -169.0, -178.0, -158.0
215.27, -167.19, -169.0, -178.0, -158.0
234.75, -166.09, -167.0, -177.0, -157.0
256.0, -166.09, -167.0, -177.0, -157.0
279.17, -50.5, -51.0, -51.0, -51.0
304.44, -50.5, -51.0, -51.0, -51.0
331.99, -163.79, -164.0, -175.0, -156.0
362.04, -163.79, -164.0, -175.0, -156.0
394.81, -50.5, -51.0, -51.0, -51.0
430.54, -50.5, -51.0, -51.0, -51.0
469.51, -160.16, -160.0, -172.0, -153.0
512.0, -160.16, -160.0, -172.0, -153.0
558.34, -50.5, -51.0, -51.0, -51.0
608.87, -50.5, -51.0, -51.0, -51.0
663.98, -50.5, -51.0, -51.0, -51.0
724.08, -50.5, -51.0, -51.0, -51.0
789.61, -50.5, -51.0, -51.0, -51.0
861.08, -50.5, -51.0, -51.0, -51.0
939.01, -155.08, -155.0, -166.0, -148.0
1024.0, -155.08, -155.0, -166.0, -148.0
